,price
2025-01-04 23:00:00,10.949
2025-01-04 23:15:00,10.949
2025-01-04 23:30:00,10.949
2025-01-04 23:45:00,10.949
2025-01-05 00:00:00,11.384
2025-01-05 00:15:00,11.384
2025-01-05 00:30:00,11.384
2025-01-05 00:45:00,11.384
2025-01-05 01:00:00,10.033
2025-01-05 01:15:00,10.033
2025-01-05 01:30:00,10.033
2025-01-05 01:45:00,10.033
2025-01-05 02:00:00,9.361
2025-01-05 02:15:00,9.361
2025-01-05 02:30:00,9.361
2025-01-05 02:45:00,9.361
2025-01-05 03:00:00,9.387
2025-01-05 03:15:00,9.387
2025-01-05 03:30:00,9.387
2025-01-05 03:45:00,9.387
2025-01-05 04:00:00,8.938
2025-01-05 04:15:00,8.938
2025-01-05 04:30:00,8.938
2025-01-05 04:45:00,8.938
2025-01-05 05:00:00,8.355
2025-01-05 05:15:00,8.355
2025-01-05 05:30:00,8.355
2025-01-05 05:45:00,8.355
2025-01-05 06:00:00,8.392
2025-01-05 06:15:00,8.392
2025-01-05 06:30:00,8.392
2025-01-05 06:45:00,8.392
2025-01-05 07:00:00,8.253
2025-01-05 07:15:00,8.253
2025-01-05 07:30:00,8.253
2025-01-05 07:45:00,8.253
2025-01-05 08:00:00,8.405
2025-01-05 08:15:00,8.405
2025-01-05 08:30:00,8.405
2025-01-05 08:45:00,8.405
2025-01-05 09:00:00,8.915
2025-01-05 09:15:00,8.915
2025-01-05 09:30:00,8.915
2025-01-05 09:45:00,8.915
2025-01-05 10:00:00,8.295
2025-01-05 10:15:00,8.295
2025-01-05 10:30:00,8.295
2025-01-05 10:45:00,8.295
2025-01-05 11:00:00,8.882
2025-01-05 11:15:00,8.882
2025-01-05 11:30:00,8.882
2025-01-05 11:45:00,8.882
2025-01-05 12:00:00,8.166
2025-01-05 12:15:00,8.166
2025-01-05 12:30:00,8.166
2025-01-05 12:45:00,8.166
2025-01-05 13:00:00,7.839
2025-01-05 13:15:00,7.839
2025-01-05 13:30:00,7.839
2025-01-05 13:45:00,7.839
2025-01-05 14:00:00,6.8
2025-01-05 14:15:00,6.8
2025-01-05 14:30:00,6.8
2025-01-05 14:45:00,6.8
2025-01-05 15:00:00,5.064
2025-01-05 15:15:00,5.064
2025-01-05 15:30:00,5.064
2025-01-05 15:45:00,5.064
2025-01-05 16:00:00,4.991
2025-01-05 16:15:00,4.991
2025-01-05 16:30:00,4.991
2025-01-05 16:45:00,4.991
2025-01-05 17:00:00,6.63
2025-01-05 17:15:00,6.63
2025-01-05 17:30:00,6.63
2025-01-05 17:45:00,6.63
2025-01-05 18:00:00,6.505
2025-01-05 18:15:00,6.505
2025-01-05 18:30:00,6.505
2025-01-05 18:45:00,6.505
2025-01-05 19:00:00,5.128
2025-01-05 19:15:00,5.128
2025-01-05 19:30:00,5.128
2025-01-05 19:45:00,5.128
2025-01-05 20:00:00,3.685
2025-01-05 20:15:00,3.685
2025-01-05 20:30:00,3.685
2025-01-05 20:45:00,3.685
2025-01-05 21:00:00,3.68
2025-01-05 21:15:00,3.68
2025-01-05 21:30:00,3.68
2025-01-05 21:45:00,3.68
2025-01-05 22:00:00,3.468
2025-01-05 22:15:00,3.468
2025-01-05 22:30:00,3.468
2025-01-05 22:45:00,3.468
2025-01-05 23:00:00,2.814
2025-01-05 23:15:00,2.814
2025-01-05 23:30:00,2.814
2025-01-05 23:45:00,2.814
2025-01-06 00:00:00,2.752
2025-01-06 00:15:00,2.752
2025-01-06 00:30:00,2.752
2025-01-06 00:45:00,2.752
2025-01-06 01:00:00,1.926
2025-01-06 01:15:00,1.926
2025-01-06 01:30:00,1.926
2025-01-06 01:45:00,1.926
2025-01-06 02:00:00,1.135
2025-01-06 02:15:00,1.135
2025-01-06 02:30:00,1.135
2025-01-06 02:45:00,1.135
2025-01-06 03:00:00,0.92
2025-01-06 03:15:00,0.92
2025-01-06 03:30:00,0.92
2025-01-06 03:45:00,0.92
2025-01-06 04:00:00,1.0
2025-01-06 04:15:00,1.0
2025-01-06 04:30:00,1.0
2025-01-06 04:45:00,1.0
2025-01-06 05:00:00,1.481
2025-01-06 05:15:00,1.481
2025-01-06 05:30:00,1.481
2025-01-06 05:45:00,1.481
2025-01-06 06:00:00,2.382
2025-01-06 06:15:00,2.382
2025-01-06 06:30:00,2.382
2025-01-06 06:45:00,2.382
2025-01-06 07:00:00,3.172
2025-01-06 07:15:00,3.172
2025-01-06 07:30:00,3.172
2025-01-06 07:45:00,3.172
2025-01-06 08:00:00,4.137
2025-01-06 08:15:00,4.137
2025-01-06 08:30:00,4.137
2025-01-06 08:45:00,4.137
2025-01-06 09:00:00,3.636
2025-01-06 09:15:00,3.636
2025-01-06 09:30:00,3.636
2025-01-06 09:45:00,3.636
2025-01-06 10:00:00,3.469
2025-01-06 10:15:00,3.469
2025-01-06 10:30:00,3.469
2025-01-06 10:45:00,3.469
2025-01-06 11:00:00,3.283
2025-01-06 11:15:00,3.283
2025-01-06 11:30:00,3.283
2025-01-06 11:45:00,3.283
2025-01-06 12:00:00,3.128
2025-01-06 12:15:00,3.128
2025-01-06 12:30:00,3.128
2025-01-06 12:45:00,3.128
2025-01-06 13:00:00,2.86
2025-01-06 13:15:00,2.86
2025-01-06 13:30:00,2.86
2025-01-06 13:45:00,2.86
2025-01-06 14:00:00,2.561
2025-01-06 14:15:00,2.561
2025-01-06 14:30:00,2.561
2025-01-06 14:45:00,2.561
2025-01-06 15:00:00,2.632
2025-01-06 15:15:00,2.632
2025-01-06 15:30:00,2.632
2025-01-06 15:45:00,2.632
2025-01-06 16:00:00,2.687
2025-01-06 16:15:00,2.687
2025-01-06 16:30:00,2.687
2025-01-06 16:45:00,2.687
2025-01-06 17:00:00,3.166
2025-01-06 17:15:00,3.166
2025-01-06 17:30:00,3.166
2025-01-06 17:45:00,3.166
2025-01-06 18:00:00,3.158
2025-01-06 18:15:00,3.158
2025-01-06 18:30:00,3.158
2025-01-06 18:45:00,3.158
2025-01-06 19:00:00,2.874
2025-01-06 19:15:00,2.874
2025-01-06 19:30:00,2.874
2025-01-06 19:45:00,2.874
2025-01-06 20:00:00,2.659
2025-01-06 20:15:00,2.659
2025-01-06 20:30:00,2.659
2025-01-06 20:45:00,2.659
2025-01-06 21:00:00,1.382
2025-01-06 21:15:00,1.382
2025-01-06 21:30:00,1.382
2025-01-06 21:45:00,1.382
2025-01-06 22:00:00,2.694
2025-01-06 22:15:00,2.694
2025-01-06 22:30:00,2.694
2025-01-06 22:45:00,2.694
2025-01-06 23:00:00,1.299
2025-01-06 23:15:00,1.299
2025-01-06 23:30:00,1.299
2025-01-06 23:45:00,1.299
2025-01-07 00:00:00,1.907
2025-01-07 00:15:00,1.907
2025-01-07 00:30:00,1.907
2025-01-07 00:45:00,1.907
2025-01-07 01:00:00,0.871
2025-01-07 01:15:00,0.871
2025-01-07 01:30:00,0.871
2025-01-07 01:45:00,0.871
2025-01-07 02:00:00,0.89
2025-01-07 02:15:00,0.89
2025-01-07 02:30:00,0.89
2025-01-07 02:45:00,0.89
2025-01-07 03:00:00,0.501
2025-01-07 03:15:00,0.501
2025-01-07 03:30:00,0.501
2025-01-07 03:45:00,0.501
2025-01-07 04:00:00,0.513
2025-01-07 04:15:00,0.513
2025-01-07 04:30:00,0.513
2025-01-07 04:45:00,0.513
2025-01-07 05:00:00,0.58
2025-01-07 05:15:00,0.58
2025-01-07 05:30:00,0.58
2025-01-07 05:45:00,0.58
2025-01-07 06:00:00,4.886
2025-01-07 06:15:00,4.886
2025-01-07 06:30:00,4.886
2025-01-07 06:45:00,4.886
2025-01-07 07:00:00,7.683
2025-01-07 07:15:00,7.683
2025-01-07 07:30:00,7.683
2025-01-07 07:45:00,7.683
2025-01-07 08:00:00,8.508
2025-01-07 08:15:00,8.508
2025-01-07 08:30:00,8.508
2025-01-07 08:45:00,8.508
2025-01-07 09:00:00,8.424
2025-01-07 09:15:00,8.424
2025-01-07 09:30:00,8.424
2025-01-07 09:45:00,8.424
2025-01-07 10:00:00,7.525
2025-01-07 10:15:00,7.525
2025-01-07 10:30:00,7.525
2025-01-07 10:45:00,7.525
2025-01-07 11:00:00,6.28
2025-01-07 11:15:00,6.28
2025-01-07 11:30:00,6.28
2025-01-07 11:45:00,6.28
2025-01-07 12:00:00,6.244
2025-01-07 12:15:00,6.244
2025-01-07 12:30:00,6.244
2025-01-07 12:45:00,6.244
2025-01-07 13:00:00,6.39
2025-01-07 13:15:00,6.39
2025-01-07 13:30:00,6.39
2025-01-07 13:45:00,6.39
2025-01-07 14:00:00,7.256
2025-01-07 14:15:00,7.256
2025-01-07 14:30:00,7.256
2025-01-07 14:45:00,7.256
2025-01-07 15:00:00,7.811
2025-01-07 15:15:00,7.811
2025-01-07 15:30:00,7.811
2025-01-07 15:45:00,7.811
2025-01-07 16:00:00,7.998
2025-01-07 16:15:00,7.998
2025-01-07 16:30:00,7.998
2025-01-07 16:45:00,7.998
2025-01-07 17:00:00,9.603
2025-01-07 17:15:00,9.603
2025-01-07 17:30:00,9.603
2025-01-07 17:45:00,9.603
2025-01-07 18:00:00,10.111
2025-01-07 18:15:00,10.111
2025-01-07 18:30:00,10.111
2025-01-07 18:45:00,10.111
2025-01-07 19:00:00,8.621
2025-01-07 19:15:00,8.621
2025-01-07 19:30:00,8.621
2025-01-07 19:45:00,8.621
2025-01-07 20:00:00,7.801
2025-01-07 20:15:00,7.801
2025-01-07 20:30:00,7.801
2025-01-07 20:45:00,7.801
2025-01-07 21:00:00,7.245
2025-01-07 21:15:00,7.245
2025-01-07 21:30:00,7.245
2025-01-07 21:45:00,7.245
2025-01-07 22:00:00,7.245
2025-01-07 22:15:00,7.245
2025-01-07 22:30:00,7.245
2025-01-07 22:45:00,7.245
2025-01-07 23:00:00,5.004
2025-01-07 23:15:00,5.004
2025-01-07 23:30:00,5.004
2025-01-07 23:45:00,5.004
2025-01-08 00:00:00,7.105
2025-01-08 00:15:00,7.105
2025-01-08 00:30:00,7.105
2025-01-08 00:45:00,7.105
2025-01-08 01:00:00,6.801
2025-01-08 01:15:00,6.801
2025-01-08 01:30:00,6.801
2025-01-08 01:45:00,6.801
2025-01-08 02:00:00,6.334
2025-01-08 02:15:00,6.334
2025-01-08 02:30:00,6.334
2025-01-08 02:45:00,6.334
2025-01-08 03:00:00,5.701
2025-01-08 03:15:00,5.701
2025-01-08 03:30:00,5.701
2025-01-08 03:45:00,5.701
2025-01-08 04:00:00,6.629
2025-01-08 04:15:00,6.629
2025-01-08 04:30:00,6.629
2025-01-08 04:45:00,6.629
2025-01-08 05:00:00,7.207
2025-01-08 05:15:00,7.207
2025-01-08 05:30:00,7.207
2025-01-08 05:45:00,7.207
2025-01-08 06:00:00,8.27
2025-01-08 06:15:00,8.27
2025-01-08 06:30:00,8.27
2025-01-08 06:45:00,8.27
2025-01-08 07:00:00,10.073
2025-01-08 07:15:00,10.073
2025-01-08 07:30:00,10.073
2025-01-08 07:45:00,10.073
2025-01-08 08:00:00,12.822
2025-01-08 08:15:00,12.822
2025-01-08 08:30:00,12.822
2025-01-08 08:45:00,12.822
2025-01-08 09:00:00,10.818
2025-01-08 09:15:00,10.818
2025-01-08 09:30:00,10.818
2025-01-08 09:45:00,10.818
2025-01-08 10:00:00,9.465
2025-01-08 10:15:00,9.465
2025-01-08 10:30:00,9.465
2025-01-08 10:45:00,9.465
2025-01-08 11:00:00,10.001
2025-01-08 11:15:00,10.001
2025-01-08 11:30:00,10.001
2025-01-08 11:45:00,10.001
2025-01-08 12:00:00,8.999
2025-01-08 12:15:00,8.999
2025-01-08 12:30:00,8.999
2025-01-08 12:45:00,8.999
2025-01-08 13:00:00,9.72
2025-01-08 13:15:00,9.72
2025-01-08 13:30:00,9.72
2025-01-08 13:45:00,9.72
2025-01-08 14:00:00,11.019
2025-01-08 14:15:00,11.019
2025-01-08 14:30:00,11.019
2025-01-08 14:45:00,11.019
2025-01-08 15:00:00,12.78
2025-01-08 15:15:00,12.78
2025-01-08 15:30:00,12.78
2025-01-08 15:45:00,12.78
2025-01-08 16:00:00,13.582
2025-01-08 16:15:00,13.582
2025-01-08 16:30:00,13.582
2025-01-08 16:45:00,13.582
2025-01-08 17:00:00,15.546
2025-01-08 17:15:00,15.546
2025-01-08 17:30:00,15.546
2025-01-08 17:45:00,15.546
2025-01-08 18:00:00,14.923
2025-01-08 18:15:00,14.923
2025-01-08 18:30:00,14.923
2025-01-08 18:45:00,14.923
2025-01-08 19:00:00,14.648
2025-01-08 19:15:00,14.648
2025-01-08 19:30:00,14.648
2025-01-08 19:45:00,14.648
2025-01-08 20:00:00,13.686
2025-01-08 20:15:00,13.686
2025-01-08 20:30:00,13.686
2025-01-08 20:45:00,13.686
2025-01-08 21:00:00,12.786
2025-01-08 21:15:00,12.786
2025-01-08 21:30:00,12.786
2025-01-08 21:45:00,12.786
2025-01-08 22:00:00,11.592
2025-01-08 22:15:00,11.592
2025-01-08 22:30:00,11.592
2025-01-08 22:45:00,11.592
2025-01-08 23:00:00,10.359
2025-01-08 23:15:00,10.359
2025-01-08 23:30:00,10.359
2025-01-08 23:45:00,10.359
2025-01-09 00:00:00,10.144
2025-01-09 00:15:00,10.144
2025-01-09 00:30:00,10.144
2025-01-09 00:45:00,10.144
2025-01-09 01:00:00,10.0
2025-01-09 01:15:00,10.0
2025-01-09 01:30:00,10.0
2025-01-09 01:45:00,10.0
2025-01-09 02:00:00,9.877
2025-01-09 02:15:00,9.877
2025-01-09 02:30:00,9.877
2025-01-09 02:45:00,9.877
2025-01-09 03:00:00,9.522
2025-01-09 03:15:00,9.522
2025-01-09 03:30:00,9.522
2025-01-09 03:45:00,9.522
2025-01-09 04:00:00,9.828
2025-01-09 04:15:00,9.828
2025-01-09 04:30:00,9.828
2025-01-09 04:45:00,9.828
2025-01-09 05:00:00,10.265
2025-01-09 05:15:00,10.265
2025-01-09 05:30:00,10.265
2025-01-09 05:45:00,10.265
2025-01-09 06:00:00,13.354
2025-01-09 06:15:00,13.354
2025-01-09 06:30:00,13.354
2025-01-09 06:45:00,13.354
2025-01-09 07:00:00,14.88
2025-01-09 07:15:00,14.88
2025-01-09 07:30:00,14.88
2025-01-09 07:45:00,14.88
2025-01-09 08:00:00,16.488
2025-01-09 08:15:00,16.488
2025-01-09 08:30:00,16.488
2025-01-09 08:45:00,16.488
2025-01-09 09:00:00,15.615
2025-01-09 09:15:00,15.615
2025-01-09 09:30:00,15.615
2025-01-09 09:45:00,15.615
2025-01-09 10:00:00,14.764
2025-01-09 10:15:00,14.764
2025-01-09 10:30:00,14.764
2025-01-09 10:45:00,14.764
2025-01-09 11:00:00,14.021
2025-01-09 11:15:00,14.021
2025-01-09 11:30:00,14.021
2025-01-09 11:45:00,14.021
2025-01-09 12:00:00,12.818
2025-01-09 12:15:00,12.818
2025-01-09 12:30:00,12.818
2025-01-09 12:45:00,12.818
2025-01-09 13:00:00,12.115
2025-01-09 13:15:00,12.115
2025-01-09 13:30:00,12.115
2025-01-09 13:45:00,12.115
2025-01-09 14:00:00,12.395
2025-01-09 14:15:00,12.395
2025-01-09 14:30:00,12.395
2025-01-09 14:45:00,12.395
2025-01-09 15:00:00,12.753
2025-01-09 15:15:00,12.753
2025-01-09 15:30:00,12.753
2025-01-09 15:45:00,12.753
2025-01-09 16:00:00,12.375
2025-01-09 16:15:00,12.375
2025-01-09 16:30:00,12.375
2025-01-09 16:45:00,12.375
2025-01-09 17:00:00,13.091
2025-01-09 17:15:00,13.091
2025-01-09 17:30:00,13.091
2025-01-09 17:45:00,13.091
2025-01-09 18:00:00,13.475
2025-01-09 18:15:00,13.475
2025-01-09 18:30:00,13.475
2025-01-09 18:45:00,13.475
2025-01-09 19:00:00,12.544
2025-01-09 19:15:00,12.544
2025-01-09 19:30:00,12.544
2025-01-09 19:45:00,12.544
2025-01-09 20:00:00,11.923
2025-01-09 20:15:00,11.923
2025-01-09 20:30:00,11.923
2025-01-09 20:45:00,11.923
2025-01-09 21:00:00,10.499
2025-01-09 21:15:00,10.499
2025-01-09 21:30:00,10.499
2025-01-09 21:45:00,10.499
2025-01-09 22:00:00,10.11
2025-01-09 22:15:00,10.11
2025-01-09 22:30:00,10.11
2025-01-09 22:45:00,10.11
2025-01-09 23:00:00,8.819
2025-01-09 23:15:00,8.819
2025-01-09 23:30:00,8.819
2025-01-09 23:45:00,8.819
2025-01-10 00:00:00,8.479
2025-01-10 00:15:00,8.479
2025-01-10 00:30:00,8.479
2025-01-10 00:45:00,8.479
2025-01-10 01:00:00,8.023
2025-01-10 01:15:00,8.023
2025-01-10 01:30:00,8.023
2025-01-10 01:45:00,8.023
2025-01-10 02:00:00,7.129
2025-01-10 02:15:00,7.129
2025-01-10 02:30:00,7.129
2025-01-10 02:45:00,7.129
2025-01-10 03:00:00,6.905
2025-01-10 03:15:00,6.905
2025-01-10 03:30:00,6.905
2025-01-10 03:45:00,6.905
2025-01-10 04:00:00,6.989
2025-01-10 04:15:00,6.989
2025-01-10 04:30:00,6.989
2025-01-10 04:45:00,6.989
2025-01-10 05:00:00,8.39
2025-01-10 05:15:00,8.39
2025-01-10 05:30:00,8.39
2025-01-10 05:45:00,8.39
2025-01-10 06:00:00,9.909
2025-01-10 06:15:00,9.909
2025-01-10 06:30:00,9.909
2025-01-10 06:45:00,9.909
2025-01-10 07:00:00,12.392
2025-01-10 07:15:00,12.392
2025-01-10 07:30:00,12.392
2025-01-10 07:45:00,12.392
2025-01-10 08:00:00,13.947
2025-01-10 08:15:00,13.947
2025-01-10 08:30:00,13.947
2025-01-10 08:45:00,13.947
2025-01-10 09:00:00,13.692
2025-01-10 09:15:00,13.692
2025-01-10 09:30:00,13.692
2025-01-10 09:45:00,13.692
2025-01-10 10:00:00,12.357
2025-01-10 10:15:00,12.357
2025-01-10 10:30:00,12.357
2025-01-10 10:45:00,12.357
2025-01-10 11:00:00,11.359
2025-01-10 11:15:00,11.359
2025-01-10 11:30:00,11.359
2025-01-10 11:45:00,11.359
2025-01-10 12:00:00,10.743
2025-01-10 12:15:00,10.743
2025-01-10 12:30:00,10.743
2025-01-10 12:45:00,10.743
2025-01-10 13:00:00,10.501
2025-01-10 13:15:00,10.501
2025-01-10 13:30:00,10.501
2025-01-10 13:45:00,10.501
2025-01-10 14:00:00,11.001
2025-01-10 14:15:00,11.001
2025-01-10 14:30:00,11.001
2025-01-10 14:45:00,11.001
2025-01-10 15:00:00,12.869
2025-01-10 15:15:00,12.869
2025-01-10 15:30:00,12.869
2025-01-10 15:45:00,12.869
2025-01-10 16:00:00,13.487
2025-01-10 16:15:00,13.487
2025-01-10 16:30:00,13.487
2025-01-10 16:45:00,13.487
2025-01-10 17:00:00,14.256
2025-01-10 17:15:00,14.256
2025-01-10 17:30:00,14.256
2025-01-10 17:45:00,14.256
2025-01-10 18:00:00,14.412
2025-01-10 18:15:00,14.412
2025-01-10 18:30:00,14.412
2025-01-10 18:45:00,14.412
2025-01-10 19:00:00,14.105
2025-01-10 19:15:00,14.105
2025-01-10 19:30:00,14.105
2025-01-10 19:45:00,14.105
2025-01-10 20:00:00,13.482
2025-01-10 20:15:00,13.482
2025-01-10 20:30:00,13.482
2025-01-10 20:45:00,13.482
2025-01-10 21:00:00,12.251
2025-01-10 21:15:00,12.251
2025-01-10 21:30:00,12.251
2025-01-10 21:45:00,12.251
2025-01-10 22:00:00,11.977
2025-01-10 22:15:00,11.977
2025-01-10 22:30:00,11.977
2025-01-10 22:45:00,11.977
2025-01-10 23:00:00,11.171
2025-01-10 23:15:00,11.171
2025-01-10 23:30:00,11.171
2025-01-10 23:45:00,11.171
2025-01-11 00:00:00,10.664
2025-01-11 00:15:00,10.664
